규정명,조항,제목,본문,키워드
GS칼텍스 예울마루 수탁 운영규정,제18조,사무 처리 규정,"예울마루 운영을 위해 필요한 직인 관리, 대관사무, 감사, 자산관리, 일반 사무, 여비 지
급 등의 규정은 따로 정한다.","사무,처리,규정"
GS칼텍스 예울마루 수탁 운영규정,별표2,위·수탁 재산관리의 자본적 지출의 범위,"구분관장팀장직원계
정원143035
분야“예울”(여수시)“마루”(예울마루)
안전진단
및
안전관리
Ÿ전체시설의 정밀안전진단
Ÿ무대 시설의 안전진단을 예산의 범
위 안에서 지급 가능
Ÿ정기, 수시, 일상점검 및 진단
Ÿ통상적, 법적 안전진단 및 관리
Ÿ무대시설 안전 점검 및 진단(수시, 
일일, 정기, 정밀)
시설
개선
Ÿ준공 전부터 미흡, 시설개선의 효과
가 현저하다고 판단되는 시설개선
(금액 제한 없음)
Ÿ시설 시공상의 하자
Ÿ기타 운영관리 중 발생되는 문제점 
해소를 위한 건당 1억원 초과의 시설
개선
Ÿ조립식 칸막이 설치 등의 기존시설
물에 영향을 주지 않는 범위에서의 
시설개선
Ÿ기타 운영관리 중 발생되는 문제점 
해소를 위한 건당 1억원 이하의 간
단한 시설개선(도장, 기능개선, 기능
보완 등)
시설,
물품의 
보수 및 
교체
Ÿ정밀, 정기안전진단의 결과 발생되는 
1억원 초과의 보수비용
Ÿ천재지변 및 내용연수 초과 등 노후화
로 인한 보수 및 교체 비용
Ÿ운영관리 중 발생되는 시설 및 물품의 
문제점 중 수탁자의 부주의 및 과실
로 판단되지 않는 1억원 초과의 보수
비용
Ÿ안전진단의 결과 발생되는 1억원 이
하의 보수 및 교체비용
Ÿ운영관리 중 발생되는 시설 및 물품
의 보수 및 교체비용
물품등 
자산의 
취 득
ŸGS칼텍스 예울마루 운영상 필수적
으로 필요한 물품 중 건당 5천만원 
초과의 물품 구입비용
ŸGS칼텍스 예울마루 운영관리에 
필요한 물품의 구입(건당 5천만
원 이하)
기타
Ÿ상기 조항에도 불구하고 금액의 제한 Ÿ상기 사항 중 비용이 초과되는 경우

없이 예산의 범위 안에서 시설 및 
물품에 대한 자본적 지출을 할 수 
있다.
Ÿ상기 “마루”의 자본적 지출 중 수탁
기관으로서는 감당할 수 없는 비용
이라 판단되는 비용
※ 처리 절차
1.“마루”의 요청(연간 사업계획서 
제출 시 요청)
2.“예울”의 심의와 검토 및 예산 
반영
3.예산확보 후 집행
라도 수탁자가 감당할 수 있는 경우
에는 시에 보고하여 승인을 득한 후 
집행할 수 있음
Ÿ상기 사항 중 수탁자로서는 감당할 
수 없는 비용이라 판단되는 비용은 
매년 연간 사업계획서 제출 시 청구
할 수 있음
   ※ 보고 및 제출 시 내용
1.건명, 금액, 사유, 기대효과 
2.분석 자료를 포함하여 제출","수탁,재산관리의,자본적,지출의,범위"
직제규정,제1조,목적,"본 규정은 재단법인 지에스칼텍스재단(이하 “법인”이라 한다)이 수탁 운영하는 GS칼텍
스 예울마루(이하 “예울마루”라 한다)의 수탁 운영 규정 제6조 및 제8조에 의하여 예울
마루의 직제에 관한 사항을 정하여 예울마루를 체계적이고 합리적으로 운영함을 목적으
로 한다.",목적
직제규정,제2조,업무분장,이 규정에 의하여 설치된 각 부서의 업무분장은 업무분장 규정에 의한다.,업무분장
직제규정,제3조,직제개편 및 정원조정,"직제를 개편하거나 정원을 조정하고자 하는 때에는 여수시와 협의를 거쳐 이사장의 승
인을 득해야한다.","직제개편,정원조정"
직제규정,제4조,관장,"관장은 이사장과 상임이사를 보좌하고 예울마루의 업무를 통할하고, 소속 직원을 지휘·
감독한다.",관장
직제규정,제5조,운영협의회,"예울마루 운영에 대한 자문을 위하여 예울마루 내에 운영협의회(이하 “협의회”라 한다)
를 둔다.",운영협의회
직제규정,제6조,목적,"「GS칼텍스 예울마루」관리 운영을 위한 위.수탁 협약이 체결됨에 따라 위탁자(여수시)
와 수탁자(GS칼텍스재단) 간 효율적이고 체계적인 관리 운영을 도모함을 목적으로 한
다.",목적
직제규정,제7조,기능,"위.수탁 협약서 제11조에 따라 「GS칼텍스 예울마루」운영에 대하여 다음 각 호 사항
을 협의한다.

1.「GS칼텍스 예울마루」연간 운영계획
2.시설물 증설 등 수탁재산 관리.운영계획
3.여수시 또는 GS칼텍스재단이 필요하다고 인정하는 사항",기능
직제규정,제7조-1,기능 — 「GS칼텍스 예울마루」연간 운영계획,"「GS칼텍스 예울마루」연간 운영계획
(직제규정 제7조 기능 제1호)","기능,GS칼텍스,예울마루연간,운영계획"
직제규정,제7조-2,기능 — 시설물 증설 등 수탁재산 관리.운영계획,"시설물 증설 등 수탁재산 관리.운영계획
(직제규정 제7조 기능 제2호)","기능,시설물,증설,수탁재산,관리운영계획"
직제규정,제7조-3,기능 — 여수시 또는 GS칼텍스재단이 필요하다고 인정하는 사,"여수시 또는 GS칼텍스재단이 필요하다고 인정하는 사항
(직제규정 제7조 기능 제3호)","기능,여수시,또는,GS칼텍스재단이,필요하다고,인정하는,사항"
직제규정,제8조,구성,"①운영협의회는 위원장 1인, 부위원장 1인을 포함하여 9인 이내로 구성한다. 
②위원은 예울마루 관장과 여수시 업무 담당 국장을 당연직으로 하고 문화예술계, 학
계, 언론계 등 지역 명망 인사 중 여수시와 GS칼텍스재단의 추천을 받아 여수시장
이 위촉한다.  
③위원장 및 부위원장은 위원 중 호선한다.",구성
직제규정,제9조,임기,"①위원의 임기는 2년 6개월로 하되 연임할 수 있다. 단, 첫 회 위원 임기는 2017. 8. 
29.부터 2019. 6. 30.까지로 한다.
②위원의 사퇴, 장기치료를 요하는 질병, 그 밖의 사유로 임무 수행이 곤란한 경우에
는 해촉 할 수 있다.",임기
직제규정,제10조,운영,"①회의는 정기회와 임시회를 둔다.
②정기회는 연 2회 개최하고, 임시회는 여수시 또는 GS칼텍스재단 필요시 위원장이 
소집할 수 있다. 
③회의는 재적 위원 과반수 출석으로 개회하고 출석위원 과반수의 찬성으로 의결한다.
④사무처리를 위해 간사 2명을 두되 여수시는 업무 담당과장, GS칼텍스 예울마루는 
업무 담당 팀장이 수행한다.
⑤이 규정에서 명시하지 않은 사항은 여수시와 GS칼텍스재단의 협의로 정할 수 있다.",운영
직제규정,제11조,비밀의 준수,"운영협의회의 위원 및 업무에 관여한 자는 그 업무수행 상 알게 된 비밀을 누설하여서
는 안 된다.","비밀의,준수"
직제규정,제12조,수당,"운영협의회에 출석하는 위원은 예산의 범위 내에서 수당을 지급할 수 있다. 단, 당연직 
위원인 경우에는 그러하지 아니하다.",수당
직제규정,제13조,하부조직,"①예울마루의 원활한 업무추진을 위하여 다음과 같이 하부조직을 둔다.
1. 운영지원팀
2. 예술사업팀
3. 극장운영팀

4. 시설관리팀
②예울마루는 필요에 따라 자문역 등을 둘 수 있다.",하부조직
직제규정,제13조-1,하부조직 — 운영지원팀,"운영지원팀
(직제규정 제13조 하부조직 제1호)","하부조직,운영지원팀"
직제규정,제13조-2,하부조직 — 예술사업팀,"예술사업팀
(직제규정 제13조 하부조직 제2호)","하부조직,예술사업팀"
직제규정,제13조-3,하부조직 — 극장운영팀,"극장운영팀
(직제규정 제13조 하부조직 제3호)","하부조직,극장운영팀"
직제규정,제13조-4,하부조직 — 시설관리팀,"시설관리팀
(직제규정 제13조 하부조직 제4호)","하부조직,시설관리팀"
직제규정,제14조,조직도,"예울마루의 조직은 별표 1과 같다. 필요한 경우 기구의 신설·폐지·명칭변경을 하되 여
수시와 협의를 거쳐 이사장의 승인을 득해야 한다.",조직도
직제규정,제15조,보직,보직이라 함은 기구표상의 조직 최소단위 이상의 장의 직을 말한다.,보직
직제규정,제16조,임면,"모든 보직은 이사장이 임면한다. 단, 관장 임면은 이사회의 의결을 거쳐야 한다.",임면
직제규정,제17조,해임,"조직개편 또는 근무성적, 성과평가 등에 의해 필요한 경우 보직을 해임할 수 있다.",해임
직제규정,제18조,겸직,"①이사장은 필요하다고 인정되는 경우 법인 소속 및 관련 직원을 예울마루의 보직에 
겸직 발령할 수 있다.
②보직자는 필요하다고 인정되는 경우 다른 보직을 겸직할 수 있다.",겸직
사무관리 규정,제1조,목적,"본 규정은 재단법인 지에스칼텍스재단(이하 “법인”이라 한다)이 수탁 운영하는 GS칼텍
스 예울마루(이하 “예울마루”라 한다)의 사무관리에 관한 사항을 규정함으로써 사무의 
간소화·표준화·과학화 및 정보화를 기하여 행정의 능률을 높이는 것을 목적으로 한다.",목적
사무관리 규정,제2조,적용범위,"예울마루의 사무관리에 관하여는 다른 규정이 특별히 정한 경우를 제외하고는 이 규정
에 의한다.",적용범위
사무관리 규정,제3조,용어의 정의,"이 규정에서 사용되는 용어의 정의는 다음의 각 항과 같다.
①“문서”라 함은 예울마루 내부 또는 대외적으로 업무상 작성 또는 시행되는 문서(도
면·사진·디스크·테이프·필름·슬라이드·전자문서 등의 특수매체 기록을 포함한다.) 및 
예울마루가 접수한 모든 기록물을 말한다.
②“처리부서”라 함은 문서의 수발 및 당해 사무처리를 주관하는 부서를 말한다.
③“전자문서”라 함은 컴퓨터 등 정보처리 능력을 갖춘 장치에 의하여 전자적인 형태로 
작성, 송·수신 또는 저장된 문서를 말한다.
④“서명”이라 함은 기안자·검토자·협조자·결재권자 또는 발신명의인이 문서상에 자필로 
자기의 성명을 다른 사람이 알아볼 수 있도록 한글로 표시하는 것을 말한다. 또는 
전자결재 시스템에서 결재하는 것을 말한다.
⑤“결재권자”라 함은 이사장으로부터 결재권을 위임받은 자 및 위임전결 규정 제6조에 
의하여 대결하는 자를 말한다.","용어의,정의"
사무관리 규정,제4조,사무관리의 원칙,"예울마루의 사무는 용이성·정확성·신속성·연속성 및 경제성이 확보될 수 있도록 관리하
여야 한다.","사무관리의,원칙"
사무관리 규정,제5조,사무의 분장,"각 처리부서의 장은 사무의 능률적 처리와 책임소재의 명확성을 기하기 위하여 소관 사
무를 단위업무별로 분장하되, 업무 분장 규정으로 따로 정한다.","사무의,분장"
사무관리 규정,제6조,사무의 인계.인수,예울마루의 사무의 인계·인수에 관하여는 직원복무 규정에서 정하는 사항을 따른다.,"사무의,인계인수"
사무관리 규정,제7조,문서의 종류,"문서는 다음 각 항과 같이 규정문서 · 지시문서 · 공고문서 · 비치문서 및 일반문서로 
나눈다.
①규정문서는 예울마루의 제규정 등에 관한 문서를 말한다.
②지시문서는 이사장, 상임이사 또는 예울마루 관장이 소속 직원에 대하여 일정한 사
항을 지시하는 문서를 말한다.
③공고문서는 고시·공고 등 예울마루가 일정한 사항을 일반인에게 알리기 위한 문서를 
말한다.
④비치문서는 각종 대장, 카드 등 예울마루의 일정한 사항을 기록하여 예울마루 내부
에 비치하면서 업무에 활용하는 문서를 말한다.
⑤일반문서는 제1항 내지 제4항에 속하지 아니하는 모든 문서를 말하며, 다음 각호와 
같이 구분한다.
1.외부문서 : 예울마루에서 외부로 발송하거나 외부로부터 접수하는 문서
2.내부문서는 다음과 같다.
  가. 사내공문 : 예울마루가 일정한 사항을 내부직원에게 알리기 위한 문서
  나. 부서메모 : 예울마루 내부에서의 상하 또는 횡적 부서간의 지시, 의견, 조회, 협조, 
제안, 보고 및 명령 등에 관한 문서","문서의,종류"
사무관리 규정,제7조-1,문서의 종류 — 외부문서,"외부문서 : 예울마루에서 외부로 발송하거나 외부로부터 접수하는 문서
(사무관리 규정 제7조 문서의 종류 제1호)","문서의,종류,외부문서,예울마루에서,외부로,발송하거나,외부로부터,접수하는,문서"
사무관리 규정,제7조-2,문서의 종류 — 내부문서는 다음과 같다. 가. 사내공문,"내부문서는 다음과 같다. 가. 사내공문 : 예울마루가 일정한 사항을 내부직원에게 알리기 위한 문서 나. 부서메모 : 예울마루 내부에서의 상하 또는 횡적 부서간의 지시, 의견, 조회, 협조, 제안, 보고 및 명령 등에 관한 문서
(사무관리 규정 제7조 문서의 종류 제2호)","문서의,종류,내부문서는,다음과,같다,사내공문,예울마루가,일정한,사항을,내부직원에게,알리기,위한,문서,부서"
사무관리 규정,제8조,문서의 성립 및 효력발생,"문서는 특별한 경우를 제외하고는 당해 문서에 대한 서명에 의한 결재가 있음으로써 성
립한다.
제 2 절  문서의 작성","문서의,성립,효력발생"
사무관리 규정,제9조,문서작성의 일반원칙,"①문서는 어문 규범에 맞게 한글로 작성하되, 쉽고 간명하게 표현하고, 뜻을 정확하게 
전달하기 위하여 필요한 경우에는 괄호 안에 한자, 기타 외국어를 넣어 쓸 수 있으
며, 특별한 사유가 있는 경우를 제외하고는 가로로 쓴다. 
②문서에 쓰는 숫자는 특별한 사유가 있는 경우를 제외하고는 아라비아숫자로 한다.
③문서에 쓰는 날짜의 표기는 숫자로 하되, 연·월·일의 글자는 생략하고 그 자리에 온
점(.)을 찍어 표시하며, 시.분의 표기는 24시간제에 따라 숫자로 하되, 시·분의 글자
는 생략하고 그 사이에 두 점(:)을 찍어 구분한다. 다만, 특별한 사유로 인하여 다
른 방법으로 표시할 필요가 있는 경우에는 그러하지 아니하다.

④문서의 작성에 쓰이는 용지의 크기는 특별한 사유가 있는 경우를 제외하고는 가로 
210밀리미터, 세로 297밀리미터(A4지)로 한다.
⑤기타 전자문서의 작성은 국가 행정시스템에 기반하여 구성된 그룹웨어를 따른다.","문서작성의,일반원칙"
사무관리 규정,제10조,분류기호와 문서번호,"①문서번호는 부서기호와 문서분류기호, 문서등록번호로 구성되며 부서기호는 각 부서 
단위로 한다.
②문서번호는 결재가 완료되어 시행문이 발송되는 시점에 부여한다.
③동일 건의 기안문과 시행문의 문서번호는 일치하여야 한다.","분류기호와,문서번호"
사무관리 규정,제11조,항목의 구분 및 표시,"문서의 내용을 2이상의 항목으로 구분할 필요가 있는 때에는 다음 구분에 의하여 표시
하여야 한다. 다만, 필요한 경우에는 부분적으로 □, ○, ―, ? 등과 같은 특수한 기호로 
표시할 수 있다.
①첫째 항목의 구분은1., 2., 3. ,4., 5....로 나누어 표시한다.
②둘째 항목의 구분은 가., 나., 다., 라. . . .로 나누어 표시한다.
③셋째 항목의 구분은 1), 2), 3), 4) . . .로 나누어 표시한다.
④넷째 항목의 구분은 가), 나), 다), 라) . . .로 나누어 표시한다.
⑤다섯째 항목의 구분은 (1), (2), (3), (4) . . .로 나누어 표시한다.
⑥여섯째 항목의 구분은 (가), (나), (다), (라) . . .로 나누어 표시한다.
⑦일곱째 항목의 구분은 ①, ②, ③, ④ . . .로 나누어 표시한다.
⑧여덟째 항목의 구분은 ㉮, ㉯, ㉰, ㉱ . . .로 나누어 표시한다.","항목의,구분,표시"
사무관리 규정,제12조,끝표시,"①문서의 본문이 끝나면 한 자(2타) 띄우고 “끝” 표시를 하며, 붙임물이 있는 경우에
는 붙임의 표시문 끝에 한 자(2타) 띄우고 “끝” 표시를 하여야 한다.
②본문의 내용이나 붙임의 표시문이 오른쪽 한계선에 닿은 때에는 다음 줄의 왼쪽 기
본선에서 한 자(2타) 띄우고 “끝” 표시를 하여야 한다.
③표 등의 서식을 작성할 때 기재사항이 서식의 마지막 칸까지 작성되는 경우에는 서
식의 칸 밖의 아래 왼쪽 기본선에서 한 자(2타)를 띄운 후 “끝” 표시를 하고, 서식
의 칸 중간에서 기재사항이 끝나는 경우에는 제1항의 규정에 의한 “끝” 표시를 하지 
아니하고 기재사항 마지막 자의 다음 칸에 “이하 빈칸” 표시를 하여야 한다. 
④일괄기안의 경우 “끝” 표시는 각 안마다 제2항 및 제3항의 요지에 의하여 표시하여
야 한다.",끝표시
사무관리 규정,제13조,발신명의,"①외부문서의 발신 명의는 “GS칼텍스 예울마루 수탁 운영 재단법인 지에스칼텍스재단 
이사장”으로 한다. 
②내부결재문서는 발신 명의를 표시하지 아니한다.",발신명의
사무관리 규정,제14조,문서의 간인,"다음 각 항의 어느 하나에 해당하고, 그 내용이 2장 이상의 분량으로 이루어진 문서일 

경우에는 간인하여야 한다.
①전후관계를 명백히 할 필요가 있는 문서
②사실 또는 법률관계의 증명에 관계되는 문서
③허가.인가 및 등록, 계약 등에 관계되는 문서","문서의,간인"
사무관리 규정,제15조,면표시,"문서의 면 표시는 문건별 면수를 중앙 하단에 표시하되, 2장 이상으로 이루어진 문서 
중 전후 관계를 명확히 할 필요가 있는 중요한 문서의 경우에는 문건별 면수를 당해 문
건의 전체 면수와 그 면의 일련번호를 붙임표(―)로 이어 표시한다.
제 3 절  문서의 기안",면표시
사무관리 규정,제16조,문서의 기안,"①문서의 기안은 기안문서(이하 “기안문”이라 한다) (별지서식 제1호 또는 별지서식 제2
호)로 하여야 한다. 다만, 내부문서(협조문) 등은 별도의 서식에 의하여 작성할 수 있다.
②사업비 집행은 기안상신이 필수이며, 운영비는 지출 금액이 1백만원 이상인 경우 기안을 
상신한다.
③2 이상의 부서장의 결재를 요하는 문서는 그 문서의 처리를 주관하는 부서에서 기
안하여야 한다.
④기안문에는 규정이 정하는 바에 따라 발의자(기안하도록 지시한 자를 말하며, 기안
자가 스스로 입안한 경우에는 기안자를 말한다)와 보고자(결재권자에게 직접 보고
하는 자를 말한다)를 알 수 있도록 표시하여야 한다. 다만, 다음 각호의 문서는 이
를 생략할 수 있다. 
1.검토 및 결정을 요하지 아니하는 문서
2.제증명 발급, 회의록 기타 단순 사실을 기록한 문서
3.일상적·반복적인 업무로서 경미한 사항에 관한 문서
⑤경미한 사항의 증명서 교부 기타 관례적인 사무에 관한 문서는 따로 기안하는 것을 
생략하고, 그 내용을 관련 장부에 기입하여 처리할 수 있다.","문서의,기안"
사무관리 규정,제16조-1,문서의 기안 — 검토 및 결정을 요하지 아니하는 문서,"검토 및 결정을 요하지 아니하는 문서
(사무관리 규정 제16조 문서의 기안 제1호)","문서의,기안,검토,결정을,요하지,아니하는,문서"
사무관리 규정,제16조-2,"문서의 기안 — 제증명 발급, 회의록 기타 단순 사실을 기록한 문서","제증명 발급, 회의록 기타 단순 사실을 기록한 문서
(사무관리 규정 제16조 문서의 기안 제2호)","문서의,기안,제증명,발급,회의록,기타,단순,사실을,기록한,문서"
사무관리 규정,제16조-3,문서의 기안 — 일상적·반복적인 업무로서 경미한 사항에 관한 문서,"일상적·반복적인 업무로서 경미한 사항에 관한 문서
(사무관리 규정 제16조 문서의 기안 제3호)","문서의,기안,일상적,반복적인,업무로서,경미한,사항에,관한,문서"
사무관리 규정,제17조,문서의 일괄기안,문서의 내용이 서로 관련성이 있는 경우에는 각 안을 동시에 일괄하여 기안할 수 있다.,"문서의,일괄기안"
사무관리 규정,제18조,검토 및 협조,"①기안문은 결재권자의 결재를 받기 전에 검토자의 검토를 받아야 한다. 다만, 검토자
의 출장 등의 사유로 검토를 받을 수 없는 등 부득이한 경우에는 이를 생략할 수 
있다. 
②문서의 내용이 다른 부서의 업무와 관련이 있는 때에는 그 기관의 협조를 받아야 
한다.
③제1항 및 제2항의 규정에 의하여 기안문을 검토 또는 협조함에 있어서 그 내용과 
다른 의견이 있는 때에는 당해 문서 또는 비고에 그 의견을 표시하여야 한다. 
④협조가 이루어지지 아니한 사항은 상급 결재자의 결정에 따른다.

제 4 절  결  재","검토,협조"
사무관리 규정,제19조,결재,"①기안한 문서는 결재 순위에 따라 결재권자의 결재를 받아야 한다.
②결재는 결재권자가 소정의 결재란에 서명 또는 날인하고 결재 일자를 명시하여야 
한다. 다만, 필요에 따라 시간을 명시할 수 있다.
③이사장은 사무의 내용에 따라 상임이사, 예울마루 관장 또는 사무담당자가 위임전결
하게 할 수 있으며, 그 위임전결에 관한 사항은 위임전결규정으로 정한다.
④결재권자가 휴가·출장·기타의 사유로 결재할 수 없는 때에는 위임전결 규정에서   
정하는 바에 따른다.
⑤기안한 문서의 결재에 있어 결재권자가 부결하고자 하거나 그 내용에 관하여 의견
을 달리할 때는 그 사유를 명시하여 재지시하여야 한다.
제 5 절  시행 및 발송",결재
사무관리 규정,제20조,시행문의 작성,"결재를 받은 문서 중 발신을 하여야 하는 문서에 대하여는 시행문을 작성하여야 하며, 
시행문은 별도의 서식에 의하여 작성할 수 있다.","시행문의,작성"
사무관리 규정,제21조,직인 날인 및 서명,"이사장 또는 관장 명의로 발신하는 문서의 시행문, 게시판 등에 고시 또는 공고하는 문서, 
임용장, 상장 및 각종 증명서에 속하는 문서에는 직인을 찍거나 서명한다.","직인,날인,서명"
사무관리 규정,제22조,직인생략,"동일한 시행 문서를 인쇄 또는 복사하여 여러 기관에 발송할 때에는 직인 날인을 생략
할 수 있으며 이 경우에는 기관명 위에 “직인 생략”을 표시하여야 한다. 다만, 중요한 
문서일 경우에는 직인을 날인하여 발송하여야 한다.",직인생략
사무관리 규정,제23조,문서의 발송,"시행문은 처리부서에서 출력하여 발송할 수 있다. 
제 6 절  접  수","문서의,발송"
사무관리 규정,제24조,문서의 접수.처리,"모든 대외문서는 전자결재시스템을 통하여 접수할 수 있으며 접수된 문서는 해당부서로 
송부한다.","문서의,접수처리"
사무관리 규정,제25조,용어의 정의,"이 장에서 사용하는 용어의 정의는 다음 각 호와 같다.
1.“보관”이라 함은 문서의 처리 완결 후부터 보존되기 전까지의 관리를 말한다.
2.“보존”이라 함은 보관이 끝난 문서를 소정의 보존 기간에 따라 관리하는 것을 말한
다.
3.“이관”이라 함은 완결된 문서를 문서 보존 부서로 인계하는 것을 말한다.","용어의,정의"
사무관리 규정,제25조-1,용어의 정의 — “보관”이라 함은 문서의 처리 완결 후부터 보존되기,"“보관”이라 함은 문서의 처리 완결 후부터 보존되기 전까지의 관리를 말한다.
(사무관리 규정 제25조 용어의 정의 제1호)","용어의,정의,보관이라,함은,문서의,처리,완결,후부터,보존되기,전까지의,관리를,말한다"
사무관리 규정,제25조-2,용어의 정의 — “보존”이라 함은 보관이 끝난 문서를 소정의 보존,"“보존”이라 함은 보관이 끝난 문서를 소정의 보존 기간에 따라 관리하는 것을 말한 다.
(사무관리 규정 제25조 용어의 정의 제2호)","용어의,정의,보존이라,함은,보관이,끝난,문서를,소정의,보존,기간에,따라,관리하는,것을,말한"
사무관리 규정,제25조-3,용어의 정의 — “이관”이라 함은 완결된 문서를 문서 보존 부서로,"“이관”이라 함은 완결된 문서를 문서 보존 부서로 인계하는 것을 말한다.
(사무관리 규정 제25조 용어의 정의 제3호)","용어의,정의,이관이라,함은,완결된,문서를,문서,보존,부서로,인계하는,것을,말한다"
사무관리 규정,제26조,보존기간,"①문서의 보존 기간의 기준은 영구, 10년, 5년, 3년, 1년 등 5종으로 구분하며 설정 
기준은 별표 1과 같다.
②제1항의 각 기준에 해당하지 않는 문서는 그 성격에 따라 해당 부서장이 정한다.",보존기간
사무관리 규정,제27조,보존 기간의 기산,문서의 보존 기간은 처리 완결된 연도의 다음 해 1월 1일부터 기산한다.,"보존,기간의,기산"
사무관리 규정,제28조,문서의 보관 및 이관,"①문서의 보관은 각 부서별로 집중 보관 관리하며, 문서의 사물화를 방지하여야 한다.
②모든 문서철은 연도별로 구분 보관함을 원칙으로 하며, 보관기간은 문서의 완결 연
도를 제외하고 최고 3년으로 한다. 제26조 규정에 의거 보존 기간이 끝난 문서는 
자체 폐기 또는 문서 주관부서로 이관시킨다.","문서의,보관,이관"
사무관리 규정,제29조,이관문서의 보존,"①문서 주관팀은 각 팀으로부터 이관된 문서를 보존기간별로 분류하여 기록한다.
②전자결재로 작성된 문서는 컴퓨터파일로 보존하거나 출력하여 보존할 수 있다.","이관문서의,보존"
사무관리 규정,제30조,비밀문서,"①비밀문서는 다음과 같다.
1.비  밀 : 대내 또는 대외적으로 비밀 취급을 요하는 문서
2.인  비 : 인사에 관한 문서로서 비밀 취급을 요하는 문서
3.대외비 : 대외적으로 비밀 취급을 요하는 문서
②비밀의 표시는 문서의 첫 면 오른쪽 윗부분에 “비밀”, “인비”, “대외비” 등 해당 표시
를 한다. 다만, 여러 장으로 된 문서, 책자, 도면 등의 비밀 표시는 필요에 따라 각 
면마다 표시할 수 있다.",비밀문서
